iterations,time,steps,error,solutions
0,561,98,0,1
1,355,83,0,2
2,302,88,0,3
3,181,53,0,4
5,164,49,1,5
6,408,94,1,6
7,681,178,1,7
8,437,126,1,7
9,337,101,1,8
11,506,150,2,9
13,356,119,3,9
14,363,114,3,10
15,260,80,3,11
16,285,89,3,12
17,345,91,3,13
18,347,89,3,13
19,271,79,3,14
20,215,61,3,15
21,552,134,3,16
22,584,189,3,17
24,389,122,4,18
25,403,120,4,19
26,332,104,4,20
27,3272,789,4,21
28,2531,598,4,22
30,1332,316,5,22
31,705,174,5,23
32,643,157,5,23
33,400,103,5,23
34,492,124,5,24
35,392,112,5,25
36,934,281,5,25
37,747,207,5,26
38,496,135,5,27
39,833,210,5,28
40,725,151,5,28
41,1210,221,5,29
43,1474,318,6,29
44,861,193,6,30
45,746,176,6,31
46,673,160,6,32
47,1069,256,6,32
48,587,139,6,33
49,363,93,6,34
50,705,188,6,34
51,561,148,6,34
52,577,185,6,35
53,379,136,6,35
54,872,235,6,36
55,745,192,6,36
56,581,137,6,36
57,605,146,6,37
58,1411,351,6,37
59,757,198,6,37
60,453,119,6,38
61,427,111,6,38
62,655,175,6,38
63,683,180,6,39
64,441,120,6,40
65,497,142,6,41
66,1143,317,6,41
67,1547,391,6,41
68,868,229,6,41
69,1043,276,6,42
70,772,209,6,43
72,439,125,7,44
73,309,87,7,44
74,304,82,7,45
75,501,164,7,46
76,403,128,7,47
77,755,173,7,47
78,531,131,7,47
79,342,92,7,48
80,265,87,7,48
81,210,65,7,49
82,234,66,7,49
83,287,75,7,49
84,194,58,7,50
85,551,155,7,50
86,395,113,7,50
87,334,88,7,51
88,210,60,7,52
89,308,86,7,52
90,1550,122,7,52
91,844,85,7,53
92,658,108,7,53
93,362,68,7,54
94,544,122,7,54
95,386,95,7,55
96,424,100,7,56
97,351,88,7,56
98,1067,243,7,56
99,621,153,7,57
